model,model_id,fold,LAMBDA_LASSO,lasso_lambda,LAMBDA_NETWORK,MSE,Turnover_econ,Turnover_seq,Sparsity,n_alive,Density,FitTime_s,LAMBDA_EXOG,self_free,NETWORK_THRESHOLD,USE_LAST_DAY,LAMBDA_TURNOVER
M4,4,2,0.0001,0.0001,0.001,1.910503374150824e-05,1.0823844873928172,0.40412936377294423,0.9366550417635409,29425,0.20289420115872436,29.053474187850952,0.0005,True,0.8,True,
M4,4,3,0.0001,0.0001,0.001,1.606776655653719e-05,0.9818666164857345,0.33742952240869345,0.9595582536812193,18786,0.11879534422464638,24.40387797355652,0.0005,True,0.8,True,
M4,4,1,0.0001,0.0001,0.005,2.004692505420425e-05,1.0748398478370234,0.38287544573260485,0.9720098165848617,13002,0.07127198705569185,8.150731801986694,0.0005,True,0.8,False,
M4,4,2,0.0001,0.0001,0.005,1.8757736231450767e-05,1.0428383819321798,0.36644352788587026,0.9720313441832429,12992,0.0724594185500287,10.23504090309143,0.0005,True,0.8,False,
M4,4,3,0.0001,0.0001,0.005,1.5955377254537697e-05,0.9659464491851478,0.32693091861535056,0.9747782657366744,11716,0.06607860535518555,11.390843391418457,0.0005,True,0.8,False,
M4,4,1,0.0001,0.0001,0.005,2.023263808443455e-05,1.0911650673329143,0.39709894963683023,0.9638680788771204,16784,0.0939767211232319,9.44063949584961,0.0005,True,0.8,True,
M4,4,2,0.0001,0.0001,0.005,1.910503374149208e-05,1.082384487391182,0.40412936377522074,0.9366550417635409,29425,0.20289420115872436,17.743024110794067,0.0005,True,0.8,True,
M4,4,3,0.0001,0.0001,0.005,1.606776655653788e-05,0.9818666164856591,0.337429522408407,0.9595582536812193,18786,0.11879534422464638,13.665573835372925,0.0005,True,0.8,True,
M4,4,1,0.0001,0.0001,0.01,2.004692505420425e-05,1.0748398478370234,0.38287544573260485,0.9720098165848617,13002,0.07127198705569185,8.033968925476074,0.0005,True,0.8,False,
M4,4,2,0.0001,0.0001,0.01,1.8757736231450767e-05,1.0428383819321798,0.36644352788587026,0.9720313441832429,12992,0.0724594185500287,9.776385068893433,0.0005,True,0.8,False,
M4,4,3,0.0001,0.0001,0.01,1.5955377254537697e-05,0.9659464491851478,0.32693091861535056,0.9747782657366744,11716,0.06607860535518555,10.712162256240845,0.0005,True,0.8,False,
M4,4,1,0.0001,0.0001,0.01,2.023263808443455e-05,1.0911650673329143,0.39709894963683023,0.9638680788771204,16784,0.0939767211232319,9.010866641998291,0.0005,True,0.8,True,
M4,4,2,0.0001,0.0001,0.01,1.910503374149208e-05,1.082384487391182,0.40412936377522074,0.9366550417635409,29425,0.20289420115872436,16.78641676902771,0.0005,True,0.8,True,
M4,4,3,0.0001,0.0001,0.01,1.606776655653788e-05,0.9818666164856591,0.337429522408407,0.9595582536812193,18786,0.11879534422464638,12.99665379524231,0.0005,True,0.8,True,
M4,4,1,0.0001,0.0001,0.0001,2.023649646307558e-05,1.117553742315967,0.3763890637044145,0.9366464307241884,29429,0.030455660525079597,23.075467586517334,0.0005,True,0.85,False,
M4,4,2,0.0001,0.0001,0.0001,1.880395555715223e-05,1.072737877966385,0.3569701711213611,0.94065917506243,27565,0.030716634479878907,27.14881920814514,0.0005,True,0.85,False,
M4,4,3,0.0001,0.0001,0.0001,1.6101736373961072e-05,0.9966655864628736,0.3178241559121283,0.945980797382244,25093,0.028876768098543764,29.684091806411743,0.0005,True,0.85,False,
M4,4,1,0.0001,0.0001,0.0001,2.03444027951949e-05,1.1222991878898705,0.39067688726775773,0.9320804271075519,31550,0.05766219531290777,13.178854703903198,0.0005,True,0.85,True,
M4,4,2,0.0001,0.0001,0.0001,1.906423514275719e-05,1.0896821513702284,0.38675354886335495,0.9242422285369845,35191,0.13168745759173234,16.697789907455444,0.0005,True,0.85,True,
M4,4,3,0.0001,0.0001,0.0001,1.616824151821397e-05,1.0016334475192832,0.3284654356383082,0.9383083613192112,28657,0.07509525549350175,16.56982731819153,0.0005,True,0.85,True,
M4,4,1,0.0001,0.0001,0.0005,1.980883580866429e-05,1.0510634045734848,0.3615387414348073,0.9854408852148454,6763,0.030455660525079597,5.776100397109985,0.0005,True,0.85,False,
M4,4,2,0.0001,0.0001,0.0005,1.8641968264912547e-05,1.0238845520898816,0.356071263772646,0.9854602600533885,6754,0.030716634479878907,7.2407026290893555,0.0005,True,0.85,False,
M4,4,3,0.0001,0.0001,0.0005,1.591003786666519e-05,0.954104412651162,0.3187940346400389,0.9862158787565659,6403,0.028876768098543764,8.473011255264282,0.0005,True,0.85,False,
M4,4,1,0.0001,0.0001,0.0005,2.003234866208468e-05,1.0692933501569892,0.3818254347503226,0.9755188151209851,11372,0.05766219531290777,7.060269355773926,0.0005,True,0.85,True,
