model,model_id,LAMBDA_LASSO,LAMBDA_EXOG,LAMBDA_NETWORK,NETWORK_THRESHOLD,lasso_lambda,self_free,USE_LAST_DAY,mean_val_mse,std_val_mse,mean_turnover_econ,mean_turnover_seq,mean_sparsity,mean_n_alive,mean_density,mean_fit_time_s
M4,4,0.0003,0.0005,0.001,0.85,0.0003,True,True,1.8062641844719495e-05,1.9272497939709565e-06,0.9939533763424727,0.33577584350747597,0.9928054766210281,3342.0,0.08814830279938063,6.332972129185994
M4,4,0.0005,0.0005,0.001,0.85,0.0005,True,False,1.8093674164572123e-05,1.9227466409503494e-06,0.9868615794716654,0.33996370597963527,0.9971289359625707,1333.6666666666667,0.03001635436783409,4.939310073852539
M4,4,0.0005,0.0005,0.001,0.85,0.0005,True,True,1.8091578307006717e-05,1.9194872124204203e-06,0.9872640949584147,0.33951098563010546,0.9969624558684234,1411.0,0.08814830279938063,5.143583297729492
M4,4,0.0001,0.0005,0.005,0.85,0.0001,True,False,1.8125174094453992e-05,2.0022837067341606e-06,1.00965010213909,0.3457463582190505,0.9857702574700767,6610.0,0.03001635436783409,4.34887941678365
M4,4,0.0001,0.0005,0.005,0.85,0.0001,True,True,1.8335615080051287e-05,2.0804341968765863e-06,1.0331833258351975,0.3678994323756051,0.9672371480237665,15219.0,0.08814830279938063,6.032240152359009
M4,4,0.0003,0.0005,0.005,0.85,0.0003,True,False,1.8068424363623506e-05,1.928829433255263e-06,0.990433849153388,0.3377065625082693,0.9950041620023536,2320.6666666666665,0.03001635436783409,3.6450271606445312
M4,4,0.0003,0.0005,0.005,0.85,0.0003,True,True,1.8062641844722456e-05,1.927249793963914e-06,0.9939533763426388,0.3357758435068434,0.9928054766210281,3342.0,0.08814830279938063,3.7791785399119058
M4,4,0.0005,0.0005,0.005,0.85,0.0005,True,False,1.8093674164570172e-05,1.9227466409498814e-06,0.9868615794721264,0.33996370597947917,0.9971289359625707,1333.6666666666667,0.03001635436783409,3.1083474159240723
M4,4,0.0005,0.0005,0.005,0.85,0.0005,True,True,1.809157830700801e-05,1.919487212418909e-06,0.9872640949579216,0.33951098563036824,0.9969624558684234,1411.0,0.08814830279938063,3.149863322575887
M4,4,0.0001,0.0005,0.01,0.85,0.0001,True,False,1.8125174094453992e-05,2.0022837067341606e-06,1.00965010213909,0.3457463582190505,0.9857702574700767,6610.0,0.03001635436783409,4.316501299540202
M4,4,0.0001,0.0005,0.01,0.85,0.0001,True,True,1.8335615080051287e-05,2.0804341968765863e-06,1.0331833258351975,0.3678994323756051,0.9672371480237665,15219.0,0.08814830279938063,5.8189930121103925
M4,4,0.0003,0.0005,0.01,0.85,0.0003,True,False,1.8068424363623506e-05,1.928829433255263e-06,0.990433849153388,0.3377065625082693,0.9950041620023536,2320.6666666666665,0.03001635436783409,3.284933884938558
M4,4,0.0003,0.0005,0.01,0.85,0.0003,True,True,1.8062641844722456e-05,1.927249793963914e-06,0.9939533763426388,0.3357758435068434,0.9928054766210281,3342.0,0.08814830279938063,3.5562853813171387
M4,4,0.0005,0.0005,0.01,0.85,0.0005,True,False,1.8093674164570172e-05,1.9227466409498814e-06,0.9868615794721264,0.33996370597947917,0.9971289359625707,1333.6666666666667,0.03001635436783409,3.1340181827545166
M4,4,0.0005,0.0005,0.01,0.85,0.0005,True,True,1.809157830700801e-05,1.919487212418909e-06,0.9872640949579216,0.33951098563036824,0.9969624558684234,1411.0,0.08814830279938063,3.3062531153361
M4,4,0.0001,0.0005,0.0001,0.9,0.0001,True,False,1.8354523451456246e-05,2.076719851372073e-06,1.059414427662518,0.3454582706174288,0.9434570452653636,26265.333333333332,0.013805522208883555,15.697347482045492
M4,4,0.0001,0.0005,0.0001,0.9,0.0001,True,True,1.842370102345536e-05,2.108019161897093e-06,1.0645457206627167,0.35882982126159213,0.937244180372571,29151.333333333332,0.052264384014475355,17.43266216913859
M4,4,0.0003,0.0005,0.0001,0.9,0.0003,True,False,1.804736806085943e-05,1.9182498320436824e-06,0.9978434193691315,0.3307626480478629,0.9911191480811734,4125.333333333333,0.013805522208883555,7.367895603179932
M4,4,0.0003,0.0005,0.0001,0.9,0.0003,True,True,1.804087898160803e-05,1.9222114631094233e-06,0.9981321077331685,0.3312651030118061,0.9903470248859038,4484.0,0.052264384014475355,7.392466306686401
M4,4,0.0005,0.0005,0.0001,0.9,0.0005,True,False,1.8091472651179277e-05,1.9179847239521987e-06,0.9873083266819513,0.33944837997746696,0.9969696317345503,1407.6666666666667,0.013805522208883555,5.374534289042155
M4,4,0.0005,0.0005,0.0001,0.9,0.0005,True,True,1.8088371069494607e-05,1.9169272442155347e-06,0.9873814712803147,0.3392659868694057,0.996868452022159,1454.6666666666667,0.052264384014475355,5.0663862228393555
M4,4,0.0001,0.0005,0.0005,0.9,0.0001,True,False,1.809714600019509e-05,1.973673268970344e-06,1.0000877890399578,0.34020677671427,0.9915805562731421,3911.0,0.013805522208883555,7.1983122030893965
M4,4,0.0001,0.0005,0.0005,0.9,0.0001,True,True,1.8185670587195032e-05,2.0356975668048208e-06,1.017401496793556,0.3558611809720447,0.9780834696747899,10180.666666666666,0.052264384014475355,9.453357617060343
M4,4,0.0003,0.0005,0.0005,0.9,0.0003,True,False,1.8080110059912315e-05,1.931847275695979e-06,0.9891025250776906,0.3383752402698785,0.9959384597720945,1886.6666666666667,0.013805522208883555,5.570213953653972
M4,4,0.0003,0.0005,0.0005,0.9,0.0003,True,True,1.8060192484620965e-05,1.927474918616594e-06,0.9913021648438404,0.33738525945619946,0.9941136370159879,2734.3333333333335,0.052264384014475355,6.089867989222209
M4,4,0.0005,0.0005,0.0005,0.9,0.0005,True,False,1.8095943599245247e-05,1.9236931524894445e-06,0.9868078301183917,0.3401325307481888,0.9972121760096444,1295.0,0.013805522208883555,4.935632069905599
M4,4,0.0005,0.0005,0.0005,0.9,0.0005,True,True,1.8091486785561638e-05,1.9214490496397274e-06,0.9869404538285979,0.33983251013792565,0.9970607652343638,1365.3333333333333,0.052264384014475355,5.379377444585164
M4,4,0.0001,0.0005,0.001,0.9,0.0001,True,False,1.8100863719925557e-05,1.9788288773557297e-06,0.9998288350826258,0.34065768201708085,0.9917391429145498,3837.3333333333335,0.013805522208883555,7.0244669914245605
M4,4,0.0001,0.0005,0.001,0.9,0.0001,True,True,1.8187048752136846e-05,2.0373943350625856e-06,1.017368990825548,0.3559591959448228,0.9781093027928471,10168.666666666666,0.052264384014475355,9.273731708526611
M4,4,0.0003,0.0005,0.001,0.9,0.0003,True,False,1.8080110059920612e-05,1.931847275717825e-06,0.9891025250765476,0.33837524027026217,0.9959384597720945,1886.6666666666667,0.013805522208883555,5.523133039474487
M4,4,0.0003,0.0005,0.001,0.9,0.0003,True,True,1.806019248462564e-05,1.9274749186082053e-06,0.9913021648383359,0.33738525946136805,0.9941136370159879,2734.3333333333335,0.052264384014475355,5.909880797068278
M4,4,0.0005,0.0005,0.001,0.9,0.0005,True,False,1.8095943599237804e-05,1.9236931524841666e-06,0.9868078301187172,0.3401325307473817,0.9972121760096444,1295.0,0.013805522208883555,5.2803581555684405
M4,4,0.0005,0.0005,0.001,0.9,0.0005,True,True,1.8091486785563264e-05,1.9214490496334306e-06,0.9869404538263021,0.3398325101393125,0.9970607652343638,1365.3333333333333,0.052264384014475355,4.933130661646525
